date,index,Brent Oil,Coin,Euro,USD,CPI,HOUSE,M1,M2,GDP,Gold,Agriculture,CoalMining,EstekrajeNaft,MahsolateFelezi,SayerMadan,Mansojat,Wood,paper,EntesharVaChap,FaravardehayeNafti,Lastic,FelezateAsasi,MashinAlat,DastgahayeBargi,VasayelErtebati,AbzaralatePezeshki,khodrosazi,GhandVaShekar,ChandReshteSanati,GazaeeBejozGhand,Daroee,Shimiyaee,KashiVaSeramik,Siman,KanehayeGeyreFelezi,SarmayeGozari,Bank,SayerMali,HamlVaNaghl,Bimeh,Amlakva,Rayaneh,FaniVaMohandesi,Mali,KanehayeFelezi
10/2/2011,-0.179491993,0.102232278,-0.064675127,-0.128169984,0.164586,1.887774657,-0.122448033,-0.388475342,-0.537025513,-0.217847882,1.469217329,-1.077004461,0.210253453,0.023697434,-0.005098335,-0.079147171,2.079570472,-0.086266408,-0.085327774,-0.77761698,0.039971701,0.276388518,-0.883411915,-0.232469511,0.088313112,-0.034011133,-0.031738025,0.637877336,-0.723193104,-0.169731312,0.301167078,-0.284012595,-0.183802166,0.341791776,-0.101859479,-0.319283024,0.694008204,0.038073941,0.24563534,0.291951978,0.426494046,0.225270248,-0.176610841,-0.132373085,0.014846661,-0.362373831
10/3/2011,0.162759721,0.412201318,0.152765498,-0.35444673,-0.578890933,-0.164292706,0.332277964,-0.382323832,-0.530953425,-0.220794052,0.432332146,-0.484590309,0.133283046,-0.046881058,-0.392657889,0.046235023,-2.011483178,-0.085320841,-0.080209606,-1.308982646,-0.079118832,0.078322954,0.009008711,0.337071143,0.055796459,0.586217155,-0.031738025,-0.041426424,-0.114711689,0.423739845,-0.215386286,-0.272417661,-0.176889709,0.621976791,-0.205250306,-0.823314943,-0.131219706,-0.20062786,0.24394909,0.380680615,-0.329748998,0.294362531,-0.335307048,-0.178668133,-0.028873378,0.669957285
10/4/2011,0.210158586,-0.069233658,-0.173269314,0.13014593,0.026057069,-0.162824313,-0.131195697,-0.376166262,-0.524886437,-0.223746654,0.051030276,-0.195326882,-0.381308613,-0.064513454,-0.269231497,-0.079147171,-0.103010402,-0.080896425,-0.105809354,0.067554643,-0.061689575,-0.22193714,0.066312424,0.107598621,-0.196539339,0.741733349,-0.031738025,0.15725069,-0.059172385,-0.136700238,-0.336658804,-0.219544374,-0.28817039,-0.1876276,-0.067386138,-0.345482183,0.38029056,-0.385111852,0.492098695,-0.067393715,-1.128036708,-0.144286459,0.140362201,-0.202146909,-0.050047127,-0.06628091
10/5/2011,0.015770856,0.683407745,-0.173521566,-0.225367623,0.304555113,0.885992297,-0.133370221,-0.547603863,-0.085101302,-0.458944372,0.322601256,-0.260111304,0.099222419,0.199234594,0.596745105,-0.079147171,-0.103010402,-0.075837879,-0.080209606,1.160628492,-0.016438746,-0.153215725,0.054167565,-0.37795054,-0.221757688,0.702853,-0.031738025,0.073304063,0.629895706,0.02944521,-0.18339597,-0.172452775,-0.177000491,-0.046117094,-0.170776965,0.615464869,-0.156718282,0.075430502,-0.454247717,0.112659321,-0.437961953,-0.271698713,1.159964087,-0.016963659,0.00473643,-0.031252011
10/8/2011,-0.295766645,-0.162197311,-0.064675127,0.258850898,0.209867176,-0.15698146,-0.135539901,-0.351482079,-0.500672572,-0.235625223,0.321595268,-0.09647532,0.236322824,-0.099486742,-0.313448975,-0.079147171,-0.07815363,-0.075837879,-0.080209606,1.356140909,-0.001591385,-0.222240534,-0.320262231,0.227332189,0.033242105,-0.011934403,-0.031738025,-0.064805019,0.504276564,-0.249393936,-0.345580706,-0.213698788,-0.190959195,-0.057094842,0.001429285,0.299355673,-0.514669362,-0.274820304,0.286350919,0.005858405,-0.203626913,0.882279852,-0.024453882,-0.179220592,-0.041858204,-0.251017561
10/9/2011,-0.314083771,-0.170742784,1.225086222,-0.031640604,0.162556129,-0.155528444,-0.137704793,-0.345299237,-0.494633395,-0.238612878,-1.088325124,-0.111384252,1.076582252,-0.134718578,-0.824081665,-0.079147171,-0.103010402,0.317974913,4.206458424,-0.20397868,-0.043500519,-0.2203657,-0.799157149,0.06742379,0.00258097,-0.017851351,-0.031738025,-0.118530928,-0.565986113,0.607493841,-0.191743911,0.03947232,-0.093438817,0.558550234,-0.06753181,-0.342590917,0.009590369,-0.330880701,0.575947193,-0.087076168,-0.157384807,0.329465717,-0.068918188,-0.530102056,-0.043367722,-0.105509862
10/10/2011,0.13058735,0.029739863,-0.170809648,-0.0959544,-0.021470102,-0.154078515,0.286711957,-0.339112354,-0.488600239,-0.241608133,0.140940679,-0.320772377,1.330469828,-0.276208793,-0.240474348,-0.079147171,-0.103010402,1.144808866,0.844173355,-0.519150359,0.019006567,-0.235283173,0.285714594,0.800420239,0.042390885,-0.365246504,-0.031738025,-0.042207709,0.173119231,0.468785901,-0.013139996,-0.372607785,-0.037802466,0.263465544,0.582450164,0.179422377,0.302462893,-0.331738738,1.640512713,-0.010705031,-0.227097035,0.683965744,0.103799064,1.367820361,-0.036316499,-0.051802446
10/11/2011,-0.345308358,0.061187187,0.253009959,0.352725544,0.660976716,-0.152631676,0.0616074,-0.332921767,-0.482573256,-0.244611187,1.239653252,-0.09647532,1.323913713,-0.331034579,-0.347538265,-0.079147171,-0.103010402,1.046303434,-0.432042547,-0.769956902,0.032628193,-0.258724956,-0.358367234,-0.132722485,-0.090872983,-0.621243805,-0.031738025,-0.297984666,-0.696255966,-0.768313311,-0.289185967,-0.290444906,-0.239633067,0.75864687,0.033885397,-1.08173523,-0.093065372,-0.16487724,-0.659945694,-0.057226404,-4.476937946,0.471449625,-0.055810758,0.321033102,-0.043021975,-0.142686421
10/12/2011,-0.739125689,0.163069872,1.594201494,0.222655867,0.29307327,0.916440625,-0.150596647,-0.417695923,0.041587533,-7.657433535,0.749662372,-0.09647532,0.808629582,-0.153986186,-0.944866018,-0.079147171,-0.103010402,-0.266985371,-0.488083897,-0.522823691,-0.025400552,-0.360583684,-0.410654283,-0.711135968,-0.243986906,-0.046988339,-0.031738025,-0.978292388,-0.62660943,-0.851807739,-1.373585107,-0.255175132,-0.316544311,-0.376200458,-0.306521841,-0.24865408,-0.577481211,-0.538662415,-1.004926158,0.009224478,-0.280997207,-0.250996024,-0.241615476,-1.435158723,-0.083115276,-0.153049448
10/15/2011,-1.427527686,-0.154768955,1.929599062,1.283808331,0.823000275,-0.146875296,-0.152729544,-0.308129191,-0.458530069,-0.249877974,0.744410447,-0.171518722,-1.510599963,-0.750484796,-1.378089224,0.146644082,-0.103010402,-0.686950314,-0.154353608,-1.015096953,-0.037881855,-0.557586544,-1.825197726,-0.648008388,-0.266896015,-0.180128368,-0.031738025,-0.901006475,-0.594981217,-0.971076343,-0.292510186,-0.492242995,-0.576429974,-0.803403836,-0.000126859,-0.780043429,-0.824620343,-0.995873138,-1.610357305,-0.100455887,-3.182340455,-0.992774482,-0.852081152,-1.744509258,-0.163060329,-0.164473257
